/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Device] cuda
  GPU: NVIDIA GeForce RTX 3090
  显存: 25.3 GB
[Experiment] toxigen_llm_clp0.0_con0.0_seed2024_0315_2107
[Data] Train: 7168 | Val: 896 | Test: 896
[CF] 加载 7204 条反事实 (llm)
[ClassWeight] [0.8634064 1.187935 ]
[Loss] WeightedCE (ls=0.0)
[Strategy] rampup_epochs=0, fairness loss 线性增长到 epoch 0
[Config] max_len=128, label_smoothing=0.0, ema_decay=0.0
[Val CF] 生成 767 条 swap 反事实 (用于 val CFR 计算)
[Model] /root/lanyun-fs/01nlpchongou/01_nlp_toxicity_classification/models/deberta-v3-base | Params: 184,062,850

============================================================
Epoch 1/6
============================================================

[Train]:   0%|          | 0/448 [00:00<?, ?it/s]
[Train]:   0%|          | 0/448 [00:01<?, ?it/s, ce=0.7484, clp=0.0000, con=0.0000, loss=0.7484]
[Train]:   0%|          | 1/448 [00:01<07:54,  1.06s/it, ce=0.7484, clp=0.0000, con=0.0000, loss=0.7484]
[Train]:   0%|          | 1/448 [00:01<07:54,  1.06s/it, ce=0.7589, clp=0.0000, con=0.0000, loss=0.7589]
[Train]:   0%|          | 2/448 [00:01<04:21,  1.71it/s, ce=0.7589, clp=0.0000, con=0.0000, loss=0.7589]
[Train]:   0%|          | 2/448 [00:01<04:21,  1.71it/s, ce=0.7548, clp=0.0000, con=0.0000, loss=0.7548]
[Train]:   1%|          | 3/448 [00:01<03:06,  2.39it/s, ce=0.7548, clp=0.0000, con=0.0000, loss=0.7548]
[Train]:   1%|          | 3/448 [00:01<03:06,  2.39it/s, ce=0.7578, clp=0.0000, con=0.0000, loss=0.7578]
[Train]:   1%|          | 4/448 [00:01<02:29,  2.97it/s, ce=0.7578, clp=0.0000, con=0.0000, loss=0.7578]
[Train]:   1%|          | 4/448 [00:01<02:29,  2.97it/s, ce=0.7460, clp=0.0000, con=0.0000, loss=0.7460]
[Train]:   1%|          | 5/448 [00:01<02:06,  3.51it/s, ce=0.7460, clp=0.0000, con=0.0000, loss=0.7460]
[Train]:   1%|          | 5/448 [00:02<02:06,  3.51it/s, ce=0.7455, clp=0.0000, con=0.0000, loss=0.7455]
[Train]:   1%|▏         | 6/448 [00:02<01:53,  3.88it/s, ce=0.7455, clp=0.0000, con=0.0000, loss=0.7455]
[Train]:   1%|▏         | 6/448 [00:02<01:53,  3.88it/s, ce=0.7362, clp=0.0000, con=0.0000, loss=0.7362]
[Train]:   2%|▏         | 7/448 [00:02<01:42,  4.32it/s, ce=0.7362, clp=0.0000, con=0.0000, loss=0.7362]
[Train]:   2%|▏         | 7/448 [00:02<01:42,  4.32it/s, ce=0.7256, clp=0.0000, con=0.0000, loss=0.7256]
[Train]:   2%|▏         | 8/448 [00:02<01:37,  4.50it/s, ce=0.7256, clp=0.0000, con=0.0000, loss=0.7256]
[Train]:   2%|▏         | 8/448 [00:02<01:37,  4.50it/s, ce=0.7181, clp=0.0000, con=0.0000, loss=0.7181]
[Train]:   2%|▏         | 9/448 [00:02<01:32,  4.73it/s, ce=0.7181, clp=0.0000, con=0.0000, loss=0.7181]
[Train]:   2%|▏         | 9/448 [00:02<01:32,  4.73it/s, ce=0.7172, clp=0.0000, con=0.0000, loss=0.7172]
[Train]:   2%|▏         | 10/448 [00:02<01:35,  4.61it/s, ce=0.7172, clp=0.0000, con=0.0000, loss=0.7172]
[Train]:   2%|▏         | 10/448 [00:03<01:35,  4.61it/s, ce=0.7229, clp=0.0000, con=0.0000, loss=0.7229]
[Train]:   2%|▏         | 11/448 [00:03<01:36,  4.52it/s, ce=0.7229, clp=0.0000, con=0.0000, loss=0.7229]
[Train]:   2%|▏         | 11/448 [00:03<01:36,  4.52it/s, ce=0.7196, clp=0.0000, con=0.0000, loss=0.7196]
[Train]:   3%|▎         | 12/448 [00:03<01:35,  4.59it/s, ce=0.7196, clp=0.0000, con=0.0000, loss=0.7196]
[Train]:   3%|▎         | 12/448 [00:03<01:35,  4.59it/s, ce=0.7137, clp=0.0000, con=0.0000, loss=0.7137]
[Train]:   3%|▎         | 13/448 [00:03<01:29,  4.84it/s, ce=0.7137, clp=0.0000, con=0.0000, loss=0.7137]
[Train]:   3%|▎         | 13/448 [00:03<01:29,  4.84it/s, ce=0.7101, clp=0.0000, con=0.0000, loss=0.7101]
[Train]:   3%|▎         | 14/448 [00:03<01:29,  4.87it/s, ce=0.7101, clp=0.0000, con=0.0000, loss=0.7101]
[Train]:   3%|▎         | 14/448 [00:03<01:29,  4.87it/s, ce=0.7126, clp=0.0000, con=0.0000, loss=0.7126]
[Train]:   3%|▎         | 15/448 [00:03<01:25,  5.08it/s, ce=0.7126, clp=0.0000, con=0.0000, loss=0.7126]
[Train]:   3%|▎         | 15/448 [00:04<01:25,  5.08it/s, ce=0.7108, clp=0.0000, con=0.0000, loss=0.7108]
[Train]:   4%|▎         | 16/448 [00:04<01:30,  4.77it/s, ce=0.7108, clp=0.0000, con=0.0000, loss=0.7108]
[Train]:   4%|▎         | 16/448 [00:04<01:30,  4.77it/s, ce=0.7113, clp=0.0000, con=0.0000, loss=0.7113]
[Train]:   4%|▍         | 17/448 [00:04<01:28,  4.88it/s, ce=0.7113, clp=0.0000, con=0.0000, loss=0.7113]
[Train]:   4%|▍         | 17/448 [00:04<01:28,  4.88it/s, ce=0.7093, clp=0.0000, con=0.0000, loss=0.7093]
[Train]:   4%|▍         | 18/448 [00:04<01:29,  4.80it/s, ce=0.7093, clp=0.0000, con=0.0000, loss=0.7093]
[Train]:   4%|▍         | 18/448 [00:04<01:29,  4.80it/s, ce=0.7040, clp=0.0000, con=0.0000, loss=0.7040]
[Train]:   4%|▍         | 19/448 [00:04<01:26,  4.99it/s, ce=0.7040, clp=0.0000, con=0.0000, loss=0.7040]
[Train]:   4%|▍         | 19/448 [00:04<01:26,  4.99it/s, ce=0.7048, clp=0.0000, con=0.0000, loss=0.7048]
[Train]:   4%|▍         | 20/448 [00:04<01:25,  4.99it/s, ce=0.7048, clp=0.0000, con=0.0000, loss=0.7048]
[Train]:   4%|▍         | 20/448 [00:05<01:25,  4.99it/s, ce=0.7050, clp=0.0000, con=0.0000, loss=0.7050]
[Train]:   5%|▍         | 21/448 [00:05<01:23,  5.10it/s, ce=0.7050, clp=0.0000, con=0.0000, loss=0.7050]
[Train]:   5%|▍         | 21/448 [00:05<01:23,  5.10it/s, ce=0.7055, clp=0.0000, con=0.0000, loss=0.7055]
[Train]:   5%|▍         | 22/448 [00:05<01:27,  4.87it/s, ce=0.7055, clp=0.0000, con=0.0000, loss=0.7055]
[Train]:   5%|▍         | 22/448 [00:05<01:27,  4.87it/s, ce=0.7037, clp=0.0000, con=0.0000, loss=0.7037]
[Train]:   5%|▌         | 23/448 [00:05<01:25,  4.97it/s, ce=0.7037, clp=0.0000, con=0.0000, loss=0.7037]
[Train]:   5%|▌         | 23/448 [00:05<01:25,  4.97it/s, ce=0.7024, clp=0.0000, con=0.0000, loss=0.7024]
[Train]:   5%|▌         | 24/448 [00:05<01:27,  4.87it/s, ce=0.7024, clp=0.0000, con=0.0000, loss=0.7024]
[Train]:   5%|▌         | 24/448 [00:05<01:27,  4.87it/s, ce=0.7015, clp=0.0000, con=0.0000, loss=0.7015]
[Train]:   6%|▌         | 25/448 [00:05<01:25,  4.96it/s, ce=0.7015, clp=0.0000, con=0.0000, loss=0.7015]
[Train]:   6%|▌         | 25/448 [00:06<01:25,  4.96it/s, ce=0.7036, clp=0.0000, con=0.0000, loss=0.7036]
[Train]:   6%|▌         | 26/448 [00:06<01:28,  4.76it/s, ce=0.7036, clp=0.0000, con=0.0000, loss=0.7036]
[Train]:   6%|▌         | 26/448 [00:06<01:28,  4.76it/s, ce=0.7033, clp=0.0000, con=0.0000, loss=0.7033]
[Train]:   6%|▌         | 27/448 [00:06<01:23,  5.05it/s, ce=0.7033, clp=0.0000, con=0.0000, loss=0.7033]
[Train]:   6%|▌         | 27/448 [00:06<01:23,  5.05it/s, ce=0.7043, clp=0.0000, con=0.0000, loss=0.7043]
[Train]:   6%|▋         | 28/448 [00:06<01:23,  5.00it/s, ce=0.7043, clp=0.0000, con=0.0000, loss=0.7043]
