/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Device] cuda
  GPU: NVIDIA GeForce RTX 3090
  显存: 25.3 GB
[Experiment] hatexplain_llm_clp0.0_con0.0_seed2024_0315_1857
[Data] Train: 15383 | Val: 1922 | Test: 1924
[CF] 加载 22133 条反事实 (llm)
[ClassWeight] [1.2304431 0.842258 ]
[Loss] WeightedCE (ls=0.0)
[Strategy] rampup_epochs=0, fairness loss 线性增长到 epoch 0
[Config] max_len=128, label_smoothing=0.0, ema_decay=0.0
[Val CF] 生成 1647 条 swap 反事实 (用于 val CFR 计算)
[Model] /root/lanyun-fs/01nlpchongou/01_nlp_toxicity_classification/models/deberta-v3-base | Params: 184,062,850

============================================================
Epoch 1/6
============================================================

[Train]:   0%|          | 0/962 [00:00<?, ?it/s]
[Train]:   0%|          | 0/962 [00:00<?, ?it/s, ce=0.7578, clp=0.0000, con=0.0000, loss=0.7578]
[Train]:   0%|          | 1/962 [00:00<15:46,  1.02it/s, ce=0.7578, clp=0.0000, con=0.0000, loss=0.7578]
[Train]:   0%|          | 1/962 [00:01<15:46,  1.02it/s, ce=0.7091, clp=0.0000, con=0.0000, loss=0.7091]
[Train]:   0%|          | 2/962 [00:01<08:47,  1.82it/s, ce=0.7091, clp=0.0000, con=0.0000, loss=0.7091]
[Train]:   0%|          | 2/962 [00:01<08:47,  1.82it/s, ce=0.7041, clp=0.0000, con=0.0000, loss=0.7041]
[Train]:   0%|          | 3/962 [00:01<06:06,  2.62it/s, ce=0.7041, clp=0.0000, con=0.0000, loss=0.7041]
[Train]:   0%|          | 3/962 [00:01<06:06,  2.62it/s, ce=0.7240, clp=0.0000, con=0.0000, loss=0.7240]
[Train]:   0%|          | 4/962 [00:01<04:51,  3.29it/s, ce=0.7240, clp=0.0000, con=0.0000, loss=0.7240]
[Train]:   0%|          | 4/962 [00:01<04:51,  3.29it/s, ce=0.7157, clp=0.0000, con=0.0000, loss=0.7157]
[Train]:   1%|          | 5/962 [00:01<04:01,  3.96it/s, ce=0.7157, clp=0.0000, con=0.0000, loss=0.7157]
[Train]:   1%|          | 5/962 [00:01<04:01,  3.96it/s, ce=0.7001, clp=0.0000, con=0.0000, loss=0.7001]
[Train]:   1%|          | 6/962 [00:01<03:45,  4.24it/s, ce=0.7001, clp=0.0000, con=0.0000, loss=0.7001]
[Train]:   1%|          | 6/962 [00:02<03:45,  4.24it/s, ce=0.7080, clp=0.0000, con=0.0000, loss=0.7080]
[Train]:   1%|          | 7/962 [00:02<03:23,  4.68it/s, ce=0.7080, clp=0.0000, con=0.0000, loss=0.7080]
[Train]:   1%|          | 7/962 [00:02<03:23,  4.68it/s, ce=0.7008, clp=0.0000, con=0.0000, loss=0.7008]
[Train]:   1%|          | 8/962 [00:02<03:19,  4.78it/s, ce=0.7008, clp=0.0000, con=0.0000, loss=0.7008]
[Train]:   1%|          | 8/962 [00:02<03:19,  4.78it/s, ce=0.7130, clp=0.0000, con=0.0000, loss=0.7130]
[Train]:   1%|          | 9/962 [00:02<03:03,  5.18it/s, ce=0.7130, clp=0.0000, con=0.0000, loss=0.7130]
[Train]:   1%|          | 9/962 [00:02<03:03,  5.18it/s, ce=0.7122, clp=0.0000, con=0.0000, loss=0.7122]
[Train]:   1%|          | 10/962 [00:02<02:59,  5.31it/s, ce=0.7122, clp=0.0000, con=0.0000, loss=0.7122]
[Train]:   1%|          | 10/962 [00:02<02:59,  5.31it/s, ce=0.7153, clp=0.0000, con=0.0000, loss=0.7153]
[Train]:   1%|          | 11/962 [00:02<02:50,  5.57it/s, ce=0.7153, clp=0.0000, con=0.0000, loss=0.7153]
[Train]:   1%|          | 11/962 [00:03<02:50,  5.57it/s, ce=0.7115, clp=0.0000, con=0.0000, loss=0.7115]
[Train]:   1%|          | 12/962 [00:03<02:57,  5.34it/s, ce=0.7115, clp=0.0000, con=0.0000, loss=0.7115]
[Train]:   1%|          | 12/962 [00:03<02:57,  5.34it/s, ce=0.7042, clp=0.0000, con=0.0000, loss=0.7042]
[Train]:   1%|▏         | 13/962 [00:03<03:00,  5.24it/s, ce=0.7042, clp=0.0000, con=0.0000, loss=0.7042]
[Train]:   1%|▏         | 13/962 [00:03<03:00,  5.24it/s, ce=0.7008, clp=0.0000, con=0.0000, loss=0.7008]
[Train]:   1%|▏         | 14/962 [00:03<03:04,  5.15it/s, ce=0.7008, clp=0.0000, con=0.0000, loss=0.7008]
[Train]:   1%|▏         | 14/962 [00:03<03:04,  5.15it/s, ce=0.6984, clp=0.0000, con=0.0000, loss=0.6984]
[Train]:   2%|▏         | 15/962 [00:03<02:52,  5.48it/s, ce=0.6984, clp=0.0000, con=0.0000, loss=0.6984]
[Train]:   2%|▏         | 15/962 [00:03<02:52,  5.48it/s, ce=0.6999, clp=0.0000, con=0.0000, loss=0.6999]
[Train]:   2%|▏         | 16/962 [00:03<02:52,  5.50it/s, ce=0.6999, clp=0.0000, con=0.0000, loss=0.6999]
[Train]:   2%|▏         | 16/962 [00:03<02:52,  5.50it/s, ce=0.6993, clp=0.0000, con=0.0000, loss=0.6993]
[Train]:   2%|▏         | 17/962 [00:03<02:45,  5.72it/s, ce=0.6993, clp=0.0000, con=0.0000, loss=0.6993]
[Train]:   2%|▏         | 17/962 [00:04<02:45,  5.72it/s, ce=0.6964, clp=0.0000, con=0.0000, loss=0.6964]
[Train]:   2%|▏         | 18/962 [00:04<02:50,  5.52it/s, ce=0.6964, clp=0.0000, con=0.0000, loss=0.6964]
[Train]:   2%|▏         | 18/962 [00:04<02:50,  5.52it/s, ce=0.7000, clp=0.0000, con=0.0000, loss=0.7000]
[Train]:   2%|▏         | 19/962 [00:04<02:48,  5.60it/s, ce=0.7000, clp=0.0000, con=0.0000, loss=0.7000]
[Train]:   2%|▏         | 19/962 [00:04<02:48,  5.60it/s, ce=0.7017, clp=0.0000, con=0.0000, loss=0.7017]
[Train]:   2%|▏         | 20/962 [00:04<02:50,  5.51it/s, ce=0.7017, clp=0.0000, con=0.0000, loss=0.7017]
[Train]:   2%|▏         | 20/962 [00:04<02:50,  5.51it/s, ce=0.6998, clp=0.0000, con=0.0000, loss=0.6998]
[Train]:   2%|▏         | 21/962 [00:04<02:42,  5.78it/s, ce=0.6998, clp=0.0000, con=0.0000, loss=0.6998]
[Train]:   2%|▏         | 21/962 [00:04<02:42,  5.78it/s, ce=0.7005, clp=0.0000, con=0.0000, loss=0.7005]
[Train]:   2%|▏         | 22/962 [00:04<02:44,  5.71it/s, ce=0.7005, clp=0.0000, con=0.0000, loss=0.7005]
[Train]:   2%|▏         | 22/962 [00:04<02:44,  5.71it/s, ce=0.7037, clp=0.0000, con=0.0000, loss=0.7037]
[Train]:   2%|▏         | 23/962 [00:04<02:43,  5.75it/s, ce=0.7037, clp=0.0000, con=0.0000, loss=0.7037]
[Train]:   2%|▏         | 23/962 [00:05<02:43,  5.75it/s, ce=0.7048, clp=0.0000, con=0.0000, loss=0.7048]
[Train]:   2%|▏         | 24/962 [00:05<02:49,  5.54it/s, ce=0.7048, clp=0.0000, con=0.0000, loss=0.7048]
[Train]:   2%|▏         | 24/962 [00:05<02:49,  5.54it/s, ce=0.7029, clp=0.0000, con=0.0000, loss=0.7029]
[Train]:   3%|▎         | 25/962 [00:05<02:43,  5.73it/s, ce=0.7029, clp=0.0000, con=0.0000, loss=0.7029]
[Train]:   3%|▎         | 25/962 [00:05<02:43,  5.73it/s, ce=0.7032, clp=0.0000, con=0.0000, loss=0.7032]
[Train]:   3%|▎         | 26/962 [00:05<02:45,  5.64it/s, ce=0.7032, clp=0.0000, con=0.0000, loss=0.7032]
[Train]:   3%|▎         | 26/962 [00:05<02:45,  5.64it/s, ce=0.7014, clp=0.0000, con=0.0000, loss=0.7014]
[Train]:   3%|▎         | 27/962 [00:05<02:39,  5.88it/s, ce=0.7014, clp=0.0000, con=0.0000, loss=0.7014]
[Train]:   3%|▎         | 27/962 [00:05<02:39,  5.88it/s, ce=0.7004, clp=0.0000, con=0.0000, loss=0.7004]
[Train]:   3%|▎         | 28/962 [00:05<02:43,  5.71it/s, ce=0.7004, clp=0.0000, con=0.0000, loss=0.7004]
[Train]:   3%|▎         | 28/962 [00:06<02:43,  5.71it/s, ce=0.6986, clp=0.0000, con=0.0000, loss=0.6986]
[Train]:   3%|▎         | 29/962 [00:06<02:41,  5.79it/s, ce=0.6986, clp=0.0000, con=0.0000, loss=0.6986]
[Train]:   3%|▎         | 29/962 [00:06<02:41,  5.79it/s, ce=0.7011, clp=0.0000, con=0.0000, loss=0.7011]
[Train]:   3%|▎         | 30/962 [00:06<02:51,  5.44it/s, ce=0.7011, clp=0.0000, con=0.0000, loss=0.7011]
[Train]:   3%|▎         | 30/962 [00:06<02:51,  5.44it/s, ce=0.7015, clp=0.0000, con=0.0000, loss=0.7015]
[Train]:   3%|▎         | 31/962 [00:06<02:46,  5.60it/s, ce=0.7015, clp=0.0000, con=0.0000, loss=0.7015]
[Train]:   3%|▎         | 31/962 [00:06<02:46,  5.60it/s, ce=0.7010, clp=0.0000, con=0.0000, loss=0.7010]
[Train]:   3%|▎         | 32/962 [00:06<02:49,  5.48it/s, ce=0.7010, clp=0.0000, con=0.0000, loss=0.7010]
[Train]:   3%|▎         | 32/962 [00:06<02:49,  5.48it/s, ce=0.7006, clp=0.0000, con=0.0000, loss=0.7006]
[Train]:   3%|▎         | 33/962 [00:06<02:44,  5.65it/s, ce=0.7006, clp=0.0000, con=0.0000, loss=0.7006]
[Train]:   3%|▎         | 33/962 [00:06<02:44,  5.65it/s, ce=0.7005, clp=0.0000, con=0.0000, loss=0.7005]
[Train]:   4%|▎         | 34/962 [00:06<02:49,  5.46it/s, ce=0.7005, clp=0.0000, con=0.0000, loss=0.7005]
[Train]:   4%|▎         | 34/962 [00:07<02:49,  5.46it/s, ce=0.7011, clp=0.0000, con=0.0000, loss=0.7011]
[Train]:   4%|▎         | 35/962 [00:07<02:49,  5.47it/s, ce=0.7011, clp=0.0000, con=0.0000, loss=0.7011]
[Train]:   4%|▎         | 35/962 [00:07<02:49,  5.47it/s, ce=0.7018, clp=0.0000, con=0.0000, loss=0.7018]
[Train]:   4%|▎         | 36/962 [00:07<02:50,  5.42it/s, ce=0.7018, clp=0.0000, con=0.0000, loss=0.7018]
[Train]:   4%|▎         | 36/962 [00:07<02:50,  5.42it/s, ce=0.7016, clp=0.0000, con=0.0000, loss=0.7016]
[Train]:   4%|▍         | 37/962 [00:07<02:45,  5.60it/s, ce=0.7016, clp=0.0000, con=0.0000, loss=0.7016]
[Train]:   4%|▍         | 37/962 [00:07<02:45,  5.60it/s, ce=0.7012, clp=0.0000, con=0.0000, loss=0.7012]
[Train]:   4%|▍         | 38/962 [00:07<02:47,  5.53it/s, ce=0.7012, clp=0.0000, con=0.0000, loss=0.7012]
[Train]:   4%|▍         | 38/962 [00:07<02:47,  5.53it/s, ce=0.7013, clp=0.0000, con=0.0000, loss=0.7013]
[Train]:   4%|▍         | 39/962 [00:07<02:42,  5.68it/s, ce=0.7013, clp=0.0000, con=0.0000, loss=0.7013]
[Train]:   4%|▍         | 39/962 [00:08<02:42,  5.68it/s, ce=0.7027, clp=0.0000, con=0.0000, loss=0.7027]
[Train]:   4%|▍         | 40/962 [00:08<02:48,  5.48it/s, ce=0.7027, clp=0.0000, con=0.0000, loss=0.7027]
[Train]:   4%|▍         | 40/962 [00:08<02:48,  5.48it/s, ce=0.7024, clp=0.0000, con=0.0000, loss=0.7024]
[Train]:   4%|▍         | 41/962 [00:08<02:46,  5.54it/s, ce=0.7024, clp=0.0000, con=0.0000, loss=0.7024]
[Train]:   4%|▍         | 41/962 [00:08<02:46,  5.54it/s, ce=0.7054, clp=0.0000, con=0.0000, loss=0.7054]
[Train]:   4%|▍         | 42/962 [00:08<02:49,  5.44it/s, ce=0.7054, clp=0.0000, con=0.0000, loss=0.7054]
[Train]:   4%|▍         | 42/962 [00:08<02:49,  5.44it/s, ce=0.7044, clp=0.0000, con=0.0000, loss=0.7044]
[Train]:   4%|▍         | 43/962 [00:08<02:43,  5.63it/s, ce=0.7044, clp=0.0000, con=0.0000, loss=0.7044]
[Train]:   4%|▍         | 43/962 [00:08<02:43,  5.63it/s, ce=0.7042, clp=0.0000, con=0.0000, loss=0.7042]
[Train]:   5%|▍         | 44/962 [00:08<02:45,  5.54it/s, ce=0.7042, clp=0.0000, con=0.0000, loss=0.7042]
[Train]:   5%|▍         | 44/962 [00:08<02:45,  5.54it/s, ce=0.7048, clp=0.0000, con=0.0000, loss=0.7048]
[Train]:   5%|▍         | 45/962 [00:08<02:43,  5.61it/s, ce=0.7048, clp=0.0000, con=0.0000, loss=0.7048]
[Train]:   5%|▍         | 45/962 [00:09<02:43,  5.61it/s, ce=0.7041, clp=0.0000, con=0.0000, loss=0.7041]
[Train]:   5%|▍         | 46/962 [00:09<02:49,  5.39it/s, ce=0.7041, clp=0.0000, con=0.0000, loss=0.7041]
[Train]:   5%|▍         | 46/962 [00:09<02:49,  5.39it/s, ce=0.7040, clp=0.0000, con=0.0000, loss=0.7040]
[Train]:   5%|▍         | 47/962 [00:09<02:43,  5.60it/s, ce=0.7040, clp=0.0000, con=0.0000, loss=0.7040]
[Train]:   5%|▍         | 47/962 [00:09<02:43,  5.60it/s, ce=0.7039, clp=0.0000, con=0.0000, loss=0.7039]
[Train]:   5%|▍         | 48/962 [00:09<02:49,  5.40it/s, ce=0.7039, clp=0.0000, con=0.0000, loss=0.7039]
[Train]:   5%|▍         | 48/962 [00:09<02:49,  5.40it/s, ce=0.7037, clp=0.0000, con=0.0000, loss=0.7037]
[Train]:   5%|▌         | 49/962 [00:09<02:44,  5.55it/s, ce=0.7037, clp=0.0000, con=0.0000, loss=0.7037]
[Train]:   5%|▌         | 49/962 [00:09<02:44,  5.55it/s, ce=0.7042, clp=0.0000, con=0.0000, loss=0.7042]
[Train]:   5%|▌         | 50/962 [00:09<02:48,  5.40it/s, ce=0.7042, clp=0.0000, con=0.0000, loss=0.7042]
[Train]:   5%|▌         | 50/962 [00:10<02:48,  5.40it/s, ce=0.7046, clp=0.0000, con=0.0000, loss=0.7046]
[Train]:   5%|▌         | 51/962 [00:10<02:47,  5.44it/s, ce=0.7046, clp=0.0000, con=0.0000, loss=0.7046]
[Train]:   5%|▌         | 51/962 [00:10<02:47,  5.44it/s, ce=0.7045, clp=0.0000, con=0.0000, loss=0.7045]
[Train]:   5%|▌         | 52/962 [00:10<02:54,  5.23it/s, ce=0.7045, clp=0.0000, con=0.0000, loss=0.7045]
[Train]:   5%|▌         | 52/962 [00:10<02:54,  5.23it/s, ce=0.7053, clp=0.0000, con=0.0000, loss=0.7053]
[Train]:   6%|▌         | 53/962 [00:10<02:47,  5.43it/s, ce=0.7053, clp=0.0000, con=0.0000, loss=0.7053]
[Train]:   6%|▌         | 53/962 [00:10<02:47,  5.43it/s, ce=0.7053, clp=0.0000, con=0.0000, loss=0.7053]
[Train]:   6%|▌         | 54/962 [00:10<02:51,  5.29it/s, ce=0.7053, clp=0.0000, con=0.0000, loss=0.7053]
[Train]:   6%|▌         | 54/962 [00:10<02:51,  5.29it/s, ce=0.7061, clp=0.0000, con=0.0000, loss=0.7061]
[Train]:   6%|▌         | 55/962 [00:10<02:43,  5.54it/s, ce=0.7061, clp=0.0000, con=0.0000, loss=0.7061]
[Train]:   6%|▌         | 55/962 [00:10<02:43,  5.54it/s, ce=0.7066, clp=0.0000, con=0.0000, loss=0.7066]
[Train]:   6%|▌         | 56/962 [00:10<02:46,  5.45it/s, ce=0.7066, clp=0.0000, con=0.0000, loss=0.7066]
[Train]:   6%|▌         | 56/962 [00:11<02:46,  5.45it/s, ce=0.7058, clp=0.0000, con=0.0000, loss=0.7058]
[Train]:   6%|▌         | 57/962 [00:11<02:44,  5.50it/s, ce=0.7058, clp=0.0000, con=0.0000, loss=0.7058]
[Train]:   6%|▌         | 57/962 [00:11<02:44,  5.50it/s, ce=0.7055, clp=0.0000, con=0.0000, loss=0.7055]
[Train]:   6%|▌         | 58/962 [00:11<02:45,  5.46it/s, ce=0.7055, clp=0.0000, con=0.0000, loss=0.7055]
[Train]:   6%|▌         | 58/962 [00:11<02:45,  5.46it/s, ce=0.7065, clp=0.0000, con=0.0000, loss=0.7065]
[Train]:   6%|▌         | 59/962 [00:11<02:37,  5.73it/s, ce=0.7065, clp=0.0000, con=0.0000, loss=0.7065]
[Train]:   6%|▌         | 59/962 [00:11<02:37,  5.73it/s, ce=0.7072, clp=0.0000, con=0.0000, loss=0.7072]
[Train]:   6%|▌         | 60/962 [00:11<02:39,  5.64it/s, ce=0.7072, clp=0.0000, con=0.0000, loss=0.7072]
[Train]:   6%|▌         | 60/962 [00:11<02:39,  5.64it/s, ce=0.7069, clp=0.0000, con=0.0000, loss=0.7069]
[Train]:   6%|▋         | 61/962 [00:11<02:35,  5.80it/s, ce=0.7069, clp=0.0000, con=0.0000, loss=0.7069]
[Train]:   6%|▋         | 61/962 [00:12<02:35,  5.80it/s, ce=0.7060, clp=0.0000, con=0.0000, loss=0.7060]
[Train]:   6%|▋         | 62/962 [00:12<02:40,  5.59it/s, ce=0.7060, clp=0.0000, con=0.0000, loss=0.7060]
[Train]:   6%|▋         | 62/962 [00:12<02:40,  5.59it/s, ce=0.7066, clp=0.0000, con=0.0000, loss=0.7066]
[Train]:   7%|▋         | 63/962 [00:12<02:39,  5.65it/s, ce=0.7066, clp=0.0000, con=0.0000, loss=0.7066]
[Train]:   7%|▋         | 63/962 [00:12<02:39,  5.65it/s, ce=0.7067, clp=0.0000, con=0.0000, loss=0.7067]
[Train]:   7%|▋         | 64/962 [00:12<02:42,  5.54it/s, ce=0.7067, clp=0.0000, con=0.0000, loss=0.7067]
[Train]:   7%|▋         | 64/962 [00:12<02:42,  5.54it/s, ce=0.7069, clp=0.0000, con=0.0000, loss=0.7069]
[Train]:   7%|▋         | 65/962 [00:12<02:35,  5.75it/s, ce=0.7069, clp=0.0000, con=0.0000, loss=0.7069]
[Train]:   7%|▋         | 65/962 [00:12<02:35,  5.75it/s, ce=0.7067, clp=0.0000, con=0.0000, loss=0.7067]
[Train]:   7%|▋         | 66/962 [00:12<02:38,  5.66it/s, ce=0.7067, clp=0.0000, con=0.0000, loss=0.7067]
[Train]:   7%|▋         | 66/962 [00:12<02:38,  5.66it/s, ce=0.7068, clp=0.0000, con=0.0000, loss=0.7068]
[Train]:   7%|▋         | 67/962 [00:12<02:34,  5.81it/s, ce=0.7068, clp=0.0000, con=0.0000, loss=0.7068]
[Train]:   7%|▋         | 67/962 [00:13<02:34,  5.81it/s, ce=0.7065, clp=0.0000, con=0.0000, loss=0.7065]
[Train]:   7%|▋         | 68/962 [00:13<02:42,  5.51it/s, ce=0.7065, clp=0.0000, con=0.0000, loss=0.7065]
[Train]:   7%|▋         | 68/962 [00:13<02:42,  5.51it/s, ce=0.7068, clp=0.0000, con=0.0000, loss=0.7068]
[Train]:   7%|▋         | 69/962 [00:13<02:36,  5.72it/s, ce=0.7068, clp=0.0000, con=0.0000, loss=0.7068]
[Train]:   7%|▋         | 69/962 [00:13<02:36,  5.72it/s, ce=0.7072, clp=0.0000, con=0.0000, loss=0.7072]
[Train]:   7%|▋         | 70/962 [00:13<02:39,  5.61it/s, ce=0.7072, clp=0.0000, con=0.0000, loss=0.7072]
[Train]:   7%|▋         | 70/962 [00:13<02:39,  5.61it/s, ce=0.7069, clp=0.0000, con=0.0000, loss=0.7069]
[Train]:   7%|▋         | 71/962 [00:13<02:33,  5.80it/s, ce=0.7069, clp=0.0000, con=0.0000, loss=0.7069]
[Train]:   7%|▋         | 71/962 [00:13<02:33,  5.80it/s, ce=0.7071, clp=0.0000, con=0.0000, loss=0.7071]
[Train]:   7%|▋         | 72/962 [00:13<02:36,  5.68it/s, ce=0.7071, clp=0.0000, con=0.0000, loss=0.7071]
[Train]:   7%|▋         | 72/962 [00:13<02:36,  5.68it/s, ce=0.7078, clp=0.0000, con=0.0000, loss=0.7078]
[Train]:   8%|▊         | 73/962 [00:13<02:34,  5.76it/s, ce=0.7078, clp=0.0000, con=0.0000, loss=0.7078]
